Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Tamilnadu Cement Corporation Ltd,"Cement , Marble , Stone etc",Industry Top,Public Sector,"28525471, 28525461",600002,"735 Anna Salai LLA Buildings, 2nd Floor, Chennai Tamil Nadu , 600002",www.tancem.com
Tamilnadu Co-operative Milk Producers Federation Ltd,"Food , FMCG , Agriculture",Industry Top,Public Sector,"23464558, 23464504",600035,"Pasumpon Muthuramalinganar salai, Nandanam, Chennai Tamil Nadu , 600035",www.aavinmilk.com
Tamilnadu Small Industries Development Corporation Ltd (TANSIDCO),"Ministeries , Govt Bodies , Associations",Industry Top,Public Sector,22501694,600032,"Thiru Vi Ka Industrial Estate, Chennai Tamil Nadu , 600032",www.sidco.tn.nic.in
Tamilnadu State Marketing Corporation Ltd,"Ministeries , Govt Bodies , Associations",Industry Top,Private Sector,28521298,600008,"CMDA Tower-II, IV Floor, Gandhi Irwin Bridge Road, Egmore,, Chennai Tamil Nadu , 600008",www.tasmac.co.in
Tamilnadu Transport Development Finance Corporation Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,"25333930, 25333931",600002,"No. 2, Wallajah Road, Tamilnadu Tourism Complex 4th Floor, Chennai Tamil Nadu , 600002",www.tdfc.in
Tamilnadu Urban Infrastructure Financial Services Ltd(WSPF),"Construction, Infrastructure",Industry Top,Private Sector,"24643103, 24643104",600028,"19,T.P Scheme Road, Raja Street Extention, Raja Annamalai Puram,, Chennai Tamil Nadu , 600028",www.tnuifsl.com
Tamilnadu Veterinary Animal Sciences University,"Institutes - Educational , Training",Industry Top,Private Sector,"25551586, 25551587",600051,"Madhavaram Milk Colony, Chennai Tamil Nadu , 600051",www.tanuvas.ac.in
Tarendra Infrastructure Chennai Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,24640099,600028,"No 16/17, 3rd Cross Street, R A Puram, Chennai Tamil Nadu , 600028",www.tvh.in
Tata Value Homes India Pvt Ltd (TATA),"Construction, Infrastructure",Industry Top,Private Sector,61013300,600127,"No 76B/1, Vandalur Kelambakam Road, Mambakkam, Chennai Tamil Nadu , 600127",www.tatavaluehomes.com
TaurusQuest Services Pvt Ltd,"ITES - BPO , KPO , LPO , MT",Industry Top,Private Sector,"40089000, 42316368",600018,"Level 2, Hallmark towers 550 TTK Road, Chennai Tamil Nadu , 600018",www.taurusquest.com
