Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Trimble Navigation India Pvt Ltd,Information Technology (IT),MNC,Private Sector,"22541941, 22541943",600113,"C North 603 & 604, 6th Floor, Tidel Park No. 4 Rajiv Gandhi Salai Taramani, Chennai Tamil Nadu , 600113",www.trimble.com
Triumph International India Pvt Ltd,"Garment , Textile",MNC,Private Sector,67414444,603204,"No 240 B, Singaperumal Kovil Post, Senkundram Village, Chennai Tamil Nadu , 603204",www.triumph.com
Trusted Aerospace Engineering Pvt Ltd,"Airlines , Aviation , Defence",MNC,Private Sector,"24333802, 24333902",600018,"16, Cenotaph Road,Wescare Towers, Teynampet, Chennai Tamil Nadu , 600018",taseglobal.com
Tsugami Precision Engineering India Pvt Ltd,Engineering,MNC,Private Sector,67176717,602105,"Sipcot Industrial Growth Center, Oragadam Sriperumbudhur Taluk, Chennai Tamil Nadu , 602105",www.tsugami.co.in
Universal Relocations India Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport, Shipping , Marine",MNC,Private Sector,40408800,600018,"76, Chamiers Road, Nandanam, Chennai Tamil Nadu , 600018",www.universalrelocations.com
USUI Susira International Pvt Ltd,Engineering,MNC,Private Sector,26253881,600058,"G-16, 1st Main Road, Ambattur Industrial Estate,, Chennai Tamil Nadu , 600058",www.usuisusira.com
Valmet Chennai Pvt Ltd,"Paper , Publishing , Printing",MNC,Private Sector,30179300,600032,"Central Square 1. Fifth Floor, South Wing, Thiru-vi-ka Industrial Estate Guindy, Chennai Tamil Nadu , 600032",www.valmet.com
VED Software Services Pvt Ltd,Information Technology (IT),MNC,Private Sector,24987645,600018,"9, Sir C P Ramaswami Street,Alwarpet, Chennai Tamil Nadu , 600018",www.vedsoft.com
Venture Lighting India Ltd,"Electrical , Electronics",MNC,Private Sector,22623094,600045,"Plot No. A30, D5 Phase II Zone B, MEPZ, Tambaram, Chennai Tamil Nadu , 600045",www.venturelighting.com
Vestas Wind Technology India Pvt Ltd,"Power , Energy",MNC,Private Sector,"24505100, 24505400",600119,"298, Rajiv Gandhi Salai, Sholinganallur, Chennai Tamil Nadu , 600119",www.vestas.com
VG IT Solutions Pvt Ltd,Information Technology (IT),MNC,Private Sector,43012701,600028,"High Gates #82, 3rd Floor Santhome High Road R.A.Puram, Chennai Tamil Nadu , 600028",www.valueglobal.net
ViaSat India Pvt Ltd,"Telecommunication , Mobile",MNC,Private Sector,39210211,600096,"Module 1 & 2, 5th Floor, Block C, SP Infocity No 40, MGR Salai, Kandanchavadi, Perungudi, Chennai Tamil Nadu , 600096",www.viasat.com
Visteon Technical and Services Center Pvt Ltd (Visteon),"Automobile , Auto Ancillaries & Dealers",MNC,Private Sector,"66177002, 66177000",600032,"Level 3 Fortius Olympia Technology Park, No. 1, Sidco Industrial Estate, Guindy, Chennai Tamil Nadu , 600032",www.visteon.com
Viva Communications Pvt Ltd,Information Technology (IT),MNC,Private Sector,"66099939, 66099940",600034,"Old No 151, New No 312, 9th Floor, Gee Gee Emerald Valluvarkottam High Road Nungambakkam, Chennai Tamil Nadu , 600034",www.vivacommunication.com
Vlead Design Services Pvt Ltd,"Garment , Textile",MNC,Private Sector,61335151,600041,"46/47 Nehru Nagar 11th Link Street Venkateshwara Colony Kottivakkam, Chennai Tamil Nadu , 600041",www.vleadservices.com
VR Chennai,"Entertainment, Retail",MNC,Private Sector,66705555,600040,"Jawaharlal Nehru Road Anna Nagar, Chennai Tamil Nadu , 600040",vrchennai.com
VShips India Pvt Ltd,"Shipping , Marine",MNC,Private Sector,"42931700, 42934000",600002,"Unit S-005, Ground Floor, Delta Wing, Raheja Towers, Chennai Tamil Nadu , 600002",www.vships.com
VSL India Pvt Ltd,"Construction, Infrastructure",MNC,Private Sector,42251111,600032,"No 21 2nd floor, North Phase West Wing, Ekkaduthangal, Chennai Tamil Nadu , 600032",www.vsl.com
Wayne-Burt Technologies,Information Technology (IT),MNC,Private Sector,43099090,600034,"# 2/31 Jayalakshmipuram I street Nungambakkam, Chennai Tamil Nadu , 600034",www.wayne-burt.com
Wear Check Laboratories India Pvt Ltd,"Petroleum , Oil , Gas , Refineries",MNC,Private Sector,45575039,600100,"16 , Chennai Tamil Nadu , 600100",www.wearcheck.co.in
Westminster Healthcare Pvt Ltd,"Institutes - Educational , Training, Hospitals , Healthcare, Retail",MNC,Private Sector,61006100,600034,"No. 145, Nungambakkam High Road,, Chennai Tamil Nadu , 600034",www.whcindia.com
William Hare India Pvt Ltd,"Information Technology (IT), Engineering",MNC,Private Sector,"39150100, 24963302",600096,"Akar's Tech Park,No 1, Manikodi Srinivasan Nagar Main Road Extn,Seevaram, Perungudi,, Chennai Tamil Nadu , 600096",hare.com
Williams Lea India Pvt Ltd,"ITES - BPO , KPO , LPO , MT",MNC,Private Sector,33513770,600113,"Ascendas International Tech Park Unit 1, 9th Floor Phase , Chennai Tamil Nadu , 600113",www.williamslea.com
Winergy Drive Systems India Pvt Ltd (Siemens),"Power , Energy",MNC,Private Sector,37174000,602106,"No.309/2 Bl 1000 A Block, Mevalur Kuppam Chettypedu Village Thandalam Post,Sriperumbudur,, Chennai Tamil Nadu , 602106",www.winergy-ag.com
WinFashion Technologies Pvt Ltd,Information Technology (IT),MNC,Private Sector,"26630228, 26630227",600102,"1st Floor, L-78, 18th street Anna Nagar East, Chennai Tamil Nadu , 600102",www.winfashion.com
Wittmann Battenfeld India Pvt Ltd,Engineering,MNC,Private Sector,42077009,600116,"1 & 2 Arumugam Nagar, Chinna Porur, Chennai Tamil Nadu , 600116",www.wittmann-group.com
Wittur Elevator Components India Pvt Ltd,Engineering,MNC,Private Sector,47124455,602105,"Nos 45/1B , 45/3 and 45/4 Pondur Village Sriperumbudur, Kancheepuram, Chennai Tamil Nadu , 602105",www.wittur.com
Woori Bank,BFSI,MNC,Private Sector,33466900,600096,"Lotte India 2nd Floor No. 4/196 Rajiv Gandhi Salai OMR Road Kandhan Chawdi Perungudi Taluk, Chennai Tamil Nadu , 600096",wooribank.com
World Vision India,"NGOs , Trust , Charitable Institutions",MNC,Private Sector,24807000 24807070,600024,"16,VOC Main Road, Kodambakkam, , Chennai 600024",www.worldvision.in
Worldgate Express Lines International Pvt Ltd,"Shipping , Marine",MNC,Private Sector,,600004,"Dev Regency, New No.111 2nd Floor, Dr. Radha Krishnan Salai,, Chennai Tamil Nadu , 600004",www.worldgate.com.sg
Wynns Mekuba India Pvt Ltd,Chemical,MNC,Private Sector,"42060568, 42060567",600058,"4D/2 Third Main Road Industrial Estate, Ambattur, Chennai Tamil Nadu , 600058",www.wynnsmekuba.net
Xybion India Pvt Ltd,Information Technology (IT),MNC,Private Sector,42877607,600072,"o -11, rattetech tower, first floor, thoraipakkam, Chennai Tamil Nadu , 600072",www.xybion.com
Yaali Bizappln Solutions,Information Technology (IT),MNC,Private Sector,,600042,"Kaashyap Enclave, 207, Dhadeswaram Nagar, Velachery, Chennai Tamil Nadu , 600042",www.bizappln.com
Yorozu JBM Automotive Tamil Nadu Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",MNC,Private Sector,71158115,602105,"B5, B6, SIPCOT Industrial Park, Phase-II, Vengadu Village, Sriperumbudur Taluk, Kancheepuram, Chennai Tamil Nadu , 602105",www.yorozu-corp.co.jp
Zalaris HR Services India Pvt Ltd,Consulting,MNC,Private Sector,46814300,600096,"2nd Floor Block B, SP Infocity, No 40, DR MGR Salai, Kandanchavadi, Perungudi,, Chennai Tamil Nadu , 600096",zalaris.in
ZANEC Soft Tech,Information Technology (IT),MNC,Private Sector,,600097,"Siri Towers, 2nd Floor, No.3 & 4, Fourrts Avenue, Okkiyam Thoraipakkam., Chennai Tamil Nadu , 600097",softwaretech.zanec.com
Zcodia Apparels Pvt Ltd,"Garment , Textile",MNC,Private Sector,,600088,"Plot no: 3, Flat no: F3, Telephone Colony 1st Street, Adambakkam, Chennai Tamil Nadu , 600088",
Zencode,Information Technology (IT),MNC,Private Sector,42048677,600032,"4th Floor, Siddhu's Complex No.18 Sardar Patel Road Guindy, Chennai Tamil Nadu , 600032",www.zencode.guru
Zilker Technology India Pvt Ltd,Information Technology (IT),MNC,Private Sector,48528384,600032,"Olympia National Towers, 7th floor, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy,, Chennai Tamil Nadu , 600032",ztech.io
Znod Technologies Pvt Ltd,Information Technology (IT),MNC,Private Sector,,600117,"#127, DG Square, 4th Floor, Pallavaram-Thoraipakkam 200â€² CMRD Radial Road, Keelkattalai,, Chennai Tamil Nadu , 600117",
Zoho Corporation Pvt Ltd,Information Technology (IT),MNC,Private Sector,"67447070, 71817070",603202,"Estancia IT Park, Plot No. 140 & 151 GST Road, Vallancherry Village, Chengalpattu Taluk, Chennai Tamil Nadu , 603202",www.zohocorp.com
Zoniac Software Pvt Ltd,Information Technology (IT),MNC,Private Sector,"42602006, 42602007",600040,"10, AE Block, 7th Street, 10th Main Road Annanagar, Chennai Tamil Nadu , 600040",www.zoniac.com
ZWEZ-CHEMIE GmbH,Chemical,MNC,Private Sector,,600017,"32 G.N. Chetty Road T. Nagar,, Chennai Tamil Nadu , 600017",www.zwez.de
Zwick Roell Testing Machines Pvt Ltd,"Capital Goods , Machines",MNC,Private Sector,43090450,600006,"Flat No.2 A Wing 8th Floor Parsn Manere No. 602 Anna Salai, Chennai Tamil Nadu , 600006",www.zwick.co.in
247 Computing Services Pvt Ltd ( Futurenet ),Information Technology (IT),Industry Top,Private Sector,23870000,600095,"No-37 1st Street Singaravelan Nagar Maduravoyal, Chennai Tamil Nadu , 600095",www.247c.in
360 Degree Global Equipments Pvt Ltd,"Capital Goods , Machines",Industry Top,Private Sector,,600095,"Plot No. 1, 2 & 3, Door No. 23, Paadasalai Street Mel Ayanambakkam, Chennai Tamil Nadu , 600095",www.360degreeglobal.com
4i Apps Solutions Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,66380000,600119,"1-1-1 Block A, First Floor, Tecci Park No: 285, Rajiv Gandhi Salai (OMR) Sholinganallur, Chennai Tamil Nadu , 600119",www.4iapps.com
A & A Dukaan Financial Services Pvt Ltd ( BankBazaar.com ),"BFSI, E -Commerce",Industry Top,Private Sector,66511800,600113,"Module No:601-604,6th Floor, Ticel Bio Park Phase-2, No:5, CSIR Road, Taramani,, Chennai Tamil Nadu , 600113",www.bankbazaar.com
Accurate Products Corporation Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,"42906100, 42906156",600042,"AC-25A, Sidco Industrial Estate, Thirumudivakkam, Chennai Tamil Nadu , 600042",www.accurateproducts.com
Accuspeed Engineering Services India Ltd,Engineering,Industry Top,Private Sector,49583211,600015,"Jamals Chambers No. 49 (Old No. 26), 1st Floor Mount Road, Saidapet, Chennai Tamil Nadu , 600015",www.accuspeed.in
Ace Petro Network India Pvt Ltd,Engineering,Industry Top,Private Sector,,600098,"50-A, Padavattamman Nagar, SIDCO Industrial Estate, Ambattur, Chennai Tamil Nadu , 600098",
Acme Commodities Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,,600061,"Door No:10, Plot No:17,1st Street, Perumal Nagar, Nanganallur, Chennai Tamil Nadu , 600061",
Acrastyle Power India Ltd,"Electrical , Electronics",Industry Top,Private Sector,,603209,"Plot No:14, CMDA Industrial Area-II, Chithamanur Village, Maraimalai Nagar, Chennai Tamil Nadu , 603209",sspower.com
ACS Medical College And Hospital,"Institutes - Educational , Training",Industry Top,Private Sector,26802133,600077,"Poonamalle High Road NH4, Chennai Tamil Nadu , 600077",acsmch.ac.in
AD Jeyaveerapandia Nadar & Bros,"Export , Import Houses, Food , FMCG , Agriculture, Shipping , Marine",Industry Top,Private Sector,26322325,600052,"5, C.C.B.F. Road Redhills, Chennai Tamil Nadu , 600052",www.adjbros.com
Adams Technologies Pvt Ltd.,Engineering,Industry Top,Private Sector,"28173711, 42068668",600034,"27, Lakshmanan street, Mahalingapuram, Chennai Tamil Nadu , 600034",www.adams-tech.net
Addison & Company Ltd (Amalgamations),Engineering,Industry Top,Private Sector,"37180030, 37180035",602105,"F65B, Sipcot Industrial Estate, Irungattukottai Sriperumputhur Thaluk, Kancheepuram District, Chennai Tamil Nadu , 602105",www.addison.co.in
Aditya Birla Money Ltd (Aditya Birla),BFSI,Industry Top,Private Sector,49490000,600006,"Ali Centre, No. 53, Greams Road,, Chennai Tamil Nadu , 600006",www.adityabirlamoney.com
Adrenalin eSystems Ltd,Information Technology (IT),Industry Top,Private Sector,30247436,600130,"6th Floor, Next Level Buildings, Intellect Design Arena, East wing, Plot No. 3/G3, Sipcot IT Park, Siruseri, Chennai Tamil Nadu , 600130",www.myadrenalin.com
Adroit Facilities Management Services Pvt Ltd,"Security , Safety , Facility Management",Industry Top,Private Sector,,600018,"No. 8a/83, Ground Floor, Krishna Avenue, Abhiramapuram, Chennai Tamil Nadu , 600018",www.adroitfms.com
Advanced Construction Technologies Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,33511777,602107,"No.5/55, Kuthambakkam Village & Post, Forest Range Road, Chettipedu, Poonamallee TK, Chennai Tamil Nadu , 602107",www.actind.com
"Advanced Training Institute, Chennai","Institutes - Educational , Training, Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,22501211,600032,"Near Central Training Institute Campus, Near Guindy Post Office, Chennai Tamil Nadu , 600032",www.atichennai.org.in
Adyar Ananda Bhavan Sweets India Pvt Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,"42333333, 24469977",600058,"No.-53 South Phase 2nd Sector, 3rd Street Ambattur Industrial Estate, Chennai Tamil Nadu , 600058",www.aabsweets.in
Adyar Motors Pvt Ltd,"Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,43969800,600020,"No. 54, Plot No. 269, Ist Avenue Indira Nagar, Adyar, Chennai Tamil Nadu , 600020",www.dealers.heromotocorp.com
Agni Estates & Foundations Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,24952495,600004,"Old No 25 New No 76 Temple Towers 3rd Floor Near Kapaleshwarar Temple, North Mada Street, Mylapore, Chennai Tamil Nadu , 600004",www.agniestates.in
Agnice Fire Protection Ltd,"Security , Safety , Facility Management",Industry Top,Private Sector,42906900,600116,"2 First Main Road, G K Industrial Estate, Alapakkam, Chennai Tamil Nadu , 600116",www.agnicefireprotection.com
Agriya Infoway Pvt Ltd ( Ahsan Technologies Co. ),Information Technology (IT),Industry Top,Private Sector,,600034,"New no 61, Plot no 39, Second Street Kamdar Nagar Mahalingapuram Nungambakkam, Chennai Tamil Nadu , 600034",www.agriya.com
Agrocrops India Ltd,"Food , FMCG , Agriculture",Industry Top,Private Sector,42625232,600001,"No: 45 Armenian Street, SM Plaza, Room no 1 2nd Floor, Chennai Tamil Nadu , 600001",www.agrocrops.com
AGS Cinemas,"Advertising , Media",Industry Top,Private Sector,40167777,600049,"AGS Cinemas , Chennai Tamil Nadu , 600049",www.agscinemas.com
Ahmedabad Maliya Tollway Ltd,"Construction, Infrastructure",Industry Top,Private Sector,,600089,"TCTC Building, First Floor, Mount Poonamallee Road Manapakkam, Chennai Tamil Nadu , 600089",
AI Enterprises Pvt Ltd,"Export , Import Houses, Garment , Textile",Industry Top,Private Sector,42920100,600102,"F-41/A, Annanagar East,, Chennai Tamil Nadu , 600102",www.aie-group.com
"Aie Cars, Chennai","Automobile , Auto Ancillaries & Dealers",Industry Top,Private Sector,,600041,"No 91, East Cost Road, Neelankarai-palavakkam,, Chennai Tamil Nadu , 600041",
Air Transport Corporation (Assam) Pvt Ltd,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,,600006,"1-D Lakshmi Bhavan 609 Anna Salai, Chennai Tamil Nadu , 600006",
Ajax Media Tech Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,28265327,600002,"No. 22A, 7th Floor, attullos Road, Mount Road,, Chennai Tamil Nadu , 600002",www.ajaxmediatech.com
Akeyem Sons,"Mineral , Metal , Mining",Industry Top,Private Sector,,600001,"No 16 2nd Floor, Sembu Doss Street, Mannady, Chennai Tamil Nadu , 600001",
Akshara Industries Ltd,Iron & Steel,Industry Top,Private Sector,26693316,600007,"No 183/1 1 & 12 Floor, Sydenhams Road, Choolai, Chennai Tamil Nadu , 600007",
Akshaya Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,42008811,600020,"Gandhi Square, No. 46, Old Mahabalipuram Road Kandanchavadi, Chennai Tamil Nadu , 600020",www.akshaya.com
Alagendran Nidhi Ltd,BFSI,Industry Top,Private Sector,26440121,600010,"No.95/40, New Avadi Road, Kilpauk, Chennai Tamil Nadu , 600010",www.alagendranbenefitfund.net
Alameen International Ltd,"Construction, Infrastructure",Industry Top,Private Sector,,600050,"NO.1122, Annanagar West End colony, Padi SO,, Chennai Tamil Nadu , 600050",www.alameendevelopers.com
Alina Pvt Ltd,"Leather , Accessories",Industry Top,Private Sector,,600032,"No. 106, Sudarsan Plaza, Second Floor, Velachery Main Road, Guindy, Chennai Tamil Nadu , 600032",aplf.com
Alkraft Thermotechnologies Pvt Ltd,"Capital Goods , Machines",Industry Top,Private Sector,"26258750, 26258790",600058,"35 , Chennai Tamil Nadu , 600058",alkraft.com
All India Medical and Engineering Colleges Association,"Institutes - Educational , Training, Ministeries , Govt Bodies , Associations",Industry Top,Private Sector,,600040,"No. 5110, H Block, 1st Street, 12th Main Road, Anna Nagar, Chennai Tamil Nadu , 600040",
Alliance GraniMarmo Pvt Ltd,"Cement , Marble , Stone etc",Industry Top,Private Sector,25302530,600001,"282 Linghi Chetty Street, Chennai Tamil Nadu , 600001",www.alliancestonegroup.com
Allianz Biosciences Pvt Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,28552617,600008,"72, Rukmani Lakshmipathi Rd, Balaji Nagar, Salai, Egmore,, Chennai Tamil Nadu , 600008",www.abpl.co.in
AllSec Technologies Ltd.,"ITES - BPO , KPO , LPO , MT",Industry Top,Private Sector,42997070,600042,"46B, Velachery Main Road Velachery, Chennai Tamil Nadu , 600042",www.allsectech.com
Aloka Trivitron Medical Technologies Pvt Ltd (Hitachi),"Hospitals , Healthcare",Industry Top,Private Sector,37183750,602117,"Plot No. A5, SIPCOT Industrial Park, Sriperumbudur Tk, Irugattukottai,, Chennai Tamil Nadu , 602117",www.hitachi.co.in
Alpha Group of Institutions,"Institutes - Educational , Training",Industry Top,Private Sector,24323431,600035,"No.16, 3rd Cross Street, West C.I.T. Nagar,, Chennai Tamil Nadu , 600035",alphagroup.edu
Althaf Shoes Pvt Ltd,"Leather , Accessories",Industry Top,Private Sector,"28202092, 28202093",600034,"Anugraha Apts C Block 1A 1st floor 19 Nungambakkam High Road, Chennai Tamil Nadu , 600034",mail.althafshoes.com
Amara Raja Electronics Ltd,"Electrical , Electronics",Industry Top,Private Sector,"28213270, 42910700",600034,"Riaz Garden, VI Floor, 12 Kodambakkam High Road, Chennai Tamil Nadu , 600034",www.amararajaelectronics.com
Amarprakash Developers Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,"40005100, 40005000",600044,"412/7 GST Road (Near Balajee Bhavan) Chromepet, Chennai Tamil Nadu , 600044",www.amarprakash.in
Ambattur Fashion India Pvt Ltd,"Garment , Textile",Industry Top,Private Sector,"26357811, 26357812",600058,"86-E/2B,Industrial estate,Ambattur, Chennai Tamil Nadu , 600058",www.ambattur.com
Ambica Empire,Hotels & Restaurants,Industry Top,Private Sector,"23621818, 23621986",600026,"79, 100 Feet Road, Vadapalani, Chennai Tamil Nadu , 600026",www.ambicaempire.com
Ambience Associates,"Security , Safety , Facility Management",Industry Top,Private Sector,,600020,"No. 16/2, Krishna Apartments, Venkatrathnam Nagar Extn 2nd Street, Adyar, Chennai Tamil Nadu , 600020",www.ambiencefacility.com
Amco Batteries Ltd (Amalgamations),"Electrical , Electronics",Industry Top,Private Sector,66122626,600032,"139, Velachery Main Road, Guindy,, Chennai Tamil Nadu , 600032",www.amco.co.in
AMET University,"Institutes - Educational , Training",Industry Top,Private Sector,26161180,600040,"5107, H2, II Avenue, Anna Nagar,, Chennai Tamil Nadu , 600040",www.ametuniv.ac.in
Amjad Finished Leather Co.,"Leather , Accessories",Industry Top,Private Sector,26400670,600112,"No 54 Maddox Street Choolai, Chennai Tamil Nadu , 600112",
AML Steel Ltd,Iron & Steel,Industry Top,Private Sector,,600086,"No9, 6 th Cross street, Gopalapuram, Chennai Tamil Nadu , 600086",www.amlsteel.in
AMM Foundation,"NGOs , Trust , Charitable Institutions",Industry Top,Private Sector,24330128,600018,"New No.3 Sriram Nagar North Street, Alwarpet, Chennai Tamil Nadu , 600018",www.ammfoundation.org
Ammayapper Roadways,"Courier , Logistics , Supply Chain ,Packaging , Transport",Industry Top,Private Sector,"25234539, 25240958",600001,"1st Floor, Armenian Street Begum Ispahani Complex, Chennai Tamil Nadu , 600001",www.ammayapperroadways.com
Amnet Systems Pvt Ltd,"Advertising , Media",Industry Top,Private Sector,43448350,600018,"JVL Plaza, 4th Floor, 501 Anna Salai, Teynampet, Chennai Tamil Nadu , 600018",www.amnet-systems.com
Amphenol Omniconnect India Pvt Ltd,Engineering,Industry Top,Private Sector,67405750,603209,"Plot 3/4B & 5A, CMDA's Industrial Area Maraimalai Nagar,, Chennai Tamil Nadu , 603209",amphenol-omni.com
AMR Energy Resources Pvt Ltd,"Export , Import Houses, Mineral , Metal , Mining",Industry Top,Private Sector,45050350,600018,"Flat No 3B Third Floor No 59 TTK Road Alwarpet, Chennai Tamil Nadu , 600018",www.amrers.com
AMRL HiTech City Ltd,"Construction, Infrastructure",Industry Top,Private Sector,42316662,600008,"Anjanalaya 2nd Floor, No 7A (New), 2 to 4 (Old) Halls Road Egmore, Chennai Tamil Nadu , 600008",www.amrlsez.com
Amrutanjan Health Care Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,"24994465, 24994164",600004,"103, Old No.42/45 Luz Church Road Mylapore, Chennai Tamil Nadu , 600004",www.amrutanjan.com
Anabond Ltd,Chemical,Industry Top,Private Sector,"23460041, 23460045",600041,"No.36, Type II Dr. VSI Estate Thiruvanmiyur, Chennai Tamil Nadu , 600041",www.anabond.com
Anand Institute Of Higher Technology,"Institutes - Educational , Training",Industry Top,Private Sector,"27471320, 27471330",603103,"Kalasalingam Nagar, Old Mahabaliburam Road, Kazhipattur, Chennai Tamil Nadu , 603103",www.aiht.ac.in
Anand Transport,"Shipping , Marine",Industry Top,Private Sector,"25353036, 42159989",600001,"New No 337 Old No 164 G-6 Singapore Plaza, Linghi Chetty Street,Parrys, Chennai Tamil Nadu , 600001",www.anandtransports.com
Andhra Chamber of Commerce,"Ministeries , Govt Bodies , Associations",Industry Top,Govt Sector,24315277,600035,"Velagapudi Ramakrishna Bldg Third Cross Street, P.B.No.3368, Nandanam,, Chennai Tamil Nadu , 600035",www.andhrachamber.com
Anjan Drug Pvt Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,23745778,600029,"5th Floor, Wing, Chennai Tamil Nadu , 600029",www.anjandrug.net
Anjana Software Solutions Pvt Ltd,Information Technology (IT),Industry Top,Private Sector,46846222,600032,"306, NSIC-STP, B-24, Guindy Indl Est, Ekkaduthangal, Chennai Tamil Nadu , 600032",www.anjanasoft.com
Anjappar Group Of Hotels (Anjappar Chettinad),Hotels & Restaurants,Industry Top,Private Sector,28144033,600017,"NO.17/35, Suprabath Flats , Chennai Tamil Nadu , 600017",www.anjappar.com
Anna Adarsh College for Women,"Institutes - Educational , Training",Industry Top,Private Sector,"26212089, 26280856",600040,"A1, II Street, 9th Main Road, Anna Nagar(west),, Chennai Tamil Nadu , 600040",www.annaadarsh.edu.in
Anna Institute of Management,"Institutes - Educational , Training",Industry Top,Govt Sector,24937170,600028,"Mahizhampoo, 163/1 P.S. Kumarasamy Raja Salai (Greenways Road), Chennai Tamil Nadu , 600028",www.annainstitute.org
"Anna University, Chennai","Institutes - Educational , Training",Industry Top,Private Sector,"22357001, 22357003",600025,"Sardar Patel Road, Chennai Tamil Nadu , 600025",www.annauniv.edu
Annai Arul Hospital,"Hospitals , Healthcare",Industry Top,Private Sector,71700700,600063,"No: 270, Mudichur Road Old Perungalathur, Chennai Tamil Nadu , 600063",www.annaiarulhospital.com
Annalakshmi Restaurants Pvt Ltd,Hotels & Restaurants,Industry Top,Private Sector,"42141210, 42141222",600008,"No 6 purtank rd.mayor ramanakatha salai, Chennai Tamil Nadu , 600008",annalakshmichennai.com
Ansari Estate Pvt Ltd,"Construction, Infrastructure",Industry Top,Private Sector,48545277,600084,"919 First Floor, PH Road, Purasawalkam, Chennai Tamil Nadu , 600084",ansariestate.com
APA Engineering Pvt Ltd,Engineering,Industry Top,Private Sector,66922800,600045,"1# E-7, 8, 9 & 10, Gem & Jewellery Complex, Phase, Chennai Tamil Nadu , 600045",www.apaengineering.com
Apex Laboratories Pvt Ltd,"Pharmaceuticals , Labs",Industry Top,Private Sector,42225000,600018,"No. 29,III Floor,Sidco Garment Complex,Guindy, Chennai Tamil Nadu , 600018",www.apexlab.com
"Apollo First Med Hospital, Chennai (Apollo)","Hospitals , Healthcare",Industry Top,Private Sector,28211111,600010,"154 Poonamallee High Road, Chennai Tamil Nadu , 600010",www.apollohospitals.com
Apollo Pharmacy (Apollo),Retail,Industry Top,Private Sector,28245800,600006,"No. 65-68, 3rd floor, loyal towers, Murugesa Naicker Office Complex, Chennai Tamil Nadu , 600006",www.apollopharmacy.in
"Apollo Sindoori Hotels Ltd ,Chennai",Hotels & Restaurants,Industry Top,Private Sector,49045005,600034,"16, Apollo Annex Building, Wallace Garden 1st Street,, Chennai Tamil Nadu , 600034",www.apollosindoori.com
"Apollo Specialty Hospital, Chennai (Apollo)","Hospitals , Healthcare",Industry Top,Private Sector,24336119,600035,"320 Anna Salai, Chennai Tamil Nadu , 600035",www.apollohospitals.com
Appaswamy Real Estates Ltd,"Construction, Infrastructure",Industry Top,Private Sector,24346333,600017,"3, Mangesh Street, T Nagar, Chennai Tamil Nadu , 600017",www.appaswamy.com
Aptus Value Housing Finance India Ltd,BFSI,Industry Top,Private Sector,45650000,600010,"8B, Doshi Towers, 205, Poonamalle High Road,Kilpauk, Chennai Tamil Nadu , 600010",www.aptusindia.com
Aqua Designs India Pvt Ltd,Environment,Industry Top,Private Sector,,600099,"200 Feet Rd, Doctors Colony, Jayanthi Nagar Kolathur, Chennai Tamil Nadu , 600099",www.aquadesigns.in
Aqua Engineers and Consultants India Pvt Ltd,Environment,Industry Top,Private Sector,66444000,600009,"5, LGP Complex, 1st Floor, Chennai Tamil Nadu , 600009",www.aquaengineers.in
Aqua World Exports Pvt Ltd,"Export , Import Houses, Food , FMCG , Agriculture",Industry Top,Private Sector,26650991,600010,"No. 7 Alsa Towers Ground Floor No 186/187, Poonamallee High Road, Kilpauk, Chennai Tamil Nadu , 600010",www.aquaworldexports.in
Aquatherm Engineering Consultants India Pvt Ltd,Consulting,Industry Top,Private Sector,"24660462, 24660464",600006,"St. Thomas Building, II, Floor No. 150 Luz Church Road, Mylapore, Chennai Tamil Nadu , 600006",www.aquathermindia.com
Aravind Laboratories Pvt Ltd ( Eyetex ),"Food , FMCG , Agriculture",Industry Top,Private Sector,43358542,600089,"3/17,Valluvar Salai Ramapuram, Chennai Tamil Nadu , 600089",www.eyetex.com
Archean Chemical Industries Pvt Ltd,Chemical,Industry Top,Private Sector,61099999,600018,"No.20/43, K B Dasan Road Teynampet, Chennai Tamil Nadu , 600018",www.archeangroup.com
Archean Group,"Cement , Marble , Stone etc",Industry Top,Private Sector,61099999,600018,"No.20/43, K B Dasan Road Teynampet,, Chennai Tamil Nadu , 600018",www.archeangroup.com
